preheat	PROC
oven	O
to	O
350	O
 
thoroughly	O
mix	PROC
egg	O
mixture	O
and	O
pour	PROC
into	O
a	O
nonstick	O
casserole	O
dish	O
 
bake	PROC
for	O
25	O
to	O
30	O
minutes	O
until	PROC
brown	PROC
 
let	O
crust	O
sit	PROC
for	O
five	O
minutes	O
 
brown	O
ground	O
meat	O
and	O
add	PROC
all	O
remaining	O
ingredients	O
minus	O
cheese	O
 
pour	PROC
topping	O
mix	O
on	O
top	O
of	O
crust	O
.	O
 
top	PROC
with	O
cheese	O
and	O
bake	PROC
for	O
twenty	O
minutes	O
 
preheat	PROC
oven	O
to	O
375	O
degrees	O
f	O
(	O
190	O
degrees	O
c	O
)	O
.	O
 
sweat	O
,	O
 
cut	PROC
in	O
the	O
butter	O
until	O
the	O
mixture	O
has	O
a	O
crumbly	PROC
texture	PROC
.	O
 
whisk	PROC
together	O
the	O
egg	O
and	O
half-and-half	O
in	O
a	O
separate	O
bowl	O
 
stir	PROC
the	O
egg	O
mixture	O
into	O
the	O
flour	O
mixture	O
until	O
combined	O
 
stir	PROC
in	O
the	O
pear	O
.	O
 
drop	PROC
large	O
spoonfuls	O
of	O
the	O
dough	O
onto	O
an	O
ungreased	O
baking	O
sheet	O
.	O
 
bake	PROC
in	O
preheated	O
oven	O
until	O
golden	PROC
brown	PROC
,	O
about	O
15	O
minutes	O
 
rest	PROC
briefly	O
on	O
a	O
cooling	O
rack	O
before	O
serving	O
.	O
 
chop	PROC
carrot	O
,	O
onion	O
,	O
celery	O
and	O
mushrooms	O
in	O
a	O
food	O
processor	O
.	O
 
in	O
a	O
spice	O
grinder	O
,	O
or	O
mortar	O
and	O
pestle	O
,	O
grind	PROC
juniper	O
,	O
allspice	O
,	O
cloves	O
and	O
pepper	O
.	O
 
in	O
a	O
large	O
dutch	O
oven	O
,	O
sweat	PROC
vegetables	O
and	O
mushrooms	O
in	O
olive	O
oil	O
over	O
medium	O
heat	O
until	O
they	O
become	O
soft	PROC
,	O
5	O
to	O
7	O
minutes	O
,	O
then	O
add	PROC
the	O
pork	O
,	O
stirring	PROC
until	O
cooked	O
through	O
.	O
 
season	PROC
with	O
salt	O
and	O
pepper	O
.	O
 
add	PROC
wine	O
,	O
broth	O
,	O
mushroom	O
liquid	O
,	O
herbs	O
and	O
spices	O
.	O
 
bring	O
to	O
a	O
boil	PROC
.	O
 
reduce	PROC
to	O
a	O
simmer	PROC
and	O
reduce	PROC
by	O
half	O
for	O
1	O
to	O
1	O
a	O
1/2	O
hours	O
.	O
 
add	PROC
tomatoes	O
and	O
simmer	PROC
on	O
very	O
low	O
heat	O
for	O
5	O
hours	O
.	O
 
add	PROC
cream	O
and	O
allow	O
sauce	O
to	O
simmer	PROC
gently	O
until	O
it	O
has	O
emulsified	PROC
,	O
about	O
20	O
minutes	O
.	O
 
(	O
if	O
freezing	PROC
the	O
sauce	O
,	O
wait	O
to	O
add	PROC
the	O
cream	O
until	O
just	O
before	O
serving	PROC
the	O
pasta	O
)	O
.	O
 
boil	PROC
the	O
pasta	O
in	O
well-salted	O
water	O
.	O
 
if	O
using	O
fresh	O
pasta	O
,	O
toss	PROC
the	O
pasta	O
in	O
butter	O
and	O
season	PROC
it	O
well	O
with	O
salt	O
and	O
pepper	O
.	O
 
then	O
serve	PROC
immediately	O
in	O
shallow	O
bowls	O
,	O
topped	PROC
with	O
1/3	O
to	O
a	O
1/2	O
cup	O
of	O
sauce	O
.	O
 
if	O
using	O
short	O
pasta	O
,	O
toss	PROC
the	O
pasta	O
in	O
the	O
sauce	O
with	O
some	O
butter	O
and	O
serve	PROC
immediately	O
in	O
shallow	O
bowls	O
.	O
 
garnish	PROC
with	O
fresh	O
parmesan	O
cheese	O
.	O
 
in	O
a	O
large	O
bowl	O
